month,day,hour,home_size,home_id,total_consumption_kwh
1,1,0,large,1050,0.2914
1,1,0,large,1050,0.3253
1,1,0,large,1050,0.4012
1,1,0,large,1050,0.8602
1,1,1,large,1050,1.3625
1,1,1,large,1050,1.4262
1,1,1,large,1050,1.303
1,1,1,large,1050,0.6878
1,1,2,large,1050,0.7133
1,1,2,large,1050,0.7449
1,1,2,large,1050,0.7764
1,1,2,large,1050,0.8061
1,1,3,large,1050,0.8448
1,1,3,large,1050,0.8842
1,1,3,large,1050,0.9229
1,1,3,large,1050,0.9587
1,1,4,large,1050,0.9974
1,1,4,large,1050,1.0241
1,1,4,large,1050,1.0528
1,1,4,large,1050,1.0824
1,1,5,large,1050,1.1163
1,1,5,large,1050,1.1322
1,1,5,large,1050,1.2812
1,1,5,large,1050,1.3947
1,1,6,large,1050,7.4568
1,1,6,large,1050,2.2115
1,1,6,large,1050,3.3448
1,1,6,large,1050,3.0694
1,1,7,large,1050,2.6621
1,1,7,large,1050,2.5708
1,1,7,large,1050,2.5043
1,1,7,large,1050,2.4229
1,1,8,large,1050,2.7014
1,1,8,large,1050,3.3247
1,1,8,large,1050,3.026
1,1,8,large,1050,2.1895
1,1,9,large,1050,1.9874
1,1,9,large,1050,1.7935
1,1,9,large,1050,1.5929
1,1,9,large,1050,1.357
1,1,10,large,1050,1.2743
1,1,10,large,1050,1.0652
1,1,10,large,1050,1.0466
1,1,10,large,1050,1.024
1,1,11,large,1050,0.9463
1,1,11,large,1050,0.9079
1,1,11,large,1050,0.8783
1,1,11,large,1050,0.8507
1,1,12,large,1050,0.8228
1,1,12,large,1050,0.7964
1,1,12,large,1050,0.8944
1,1,12,large,1050,0.9718
1,1,13,large,1050,0.9389
1,1,13,large,1050,0.9106
1,1,13,large,1050,0.8823
1,1,13,large,1050,0.7541
1,1,14,large,1050,0.5966
1,1,14,large,1050,0.5535
1,1,14,large,1050,0.5398
1,1,14,large,1050,0.5243
1,1,15,large,1050,0.5153
1,1,15,large,1050,0.505
1,1,15,large,1050,0.5161
1,1,15,large,1050,0.4953
1,1,16,large,1050,0.4896
1,1,16,large,1050,0.4708
1,1,16,large,1050,0.4571
1,1,16,large,1050,0.4487
1,1,17,large,1050,0.4683
1,1,17,large,1050,0.4687
1,1,17,large,1050,0.4678
1,1,17,large,1050,0.5104
1,1,18,large,1050,0.5511
1,1,18,large,1050,0.5481
1,1,18,large,1050,0.6054
1,1,18,large,1050,0.6
1,1,19,large,1050,0.6545
1,1,19,large,1050,0.6521
1,1,19,large,1050,0.7751
1,1,19,large,1050,0.8795
1,1,20,large,1050,0.8872
1,1,20,large,1050,0.8842
1,1,20,large,1050,0.8854
1,1,20,large,1050,0.8963
1,1,21,large,1050,0.6149
1,1,21,large,1050,0.5258
1,1,21,large,1050,0.3599
1,1,21,large,1050,0.3598
1,1,22,large,1050,0.2385
1,1,22,large,1050,0.2964
1,1,22,large,1050,0.2383
1,1,22,large,1050,0.1802
1,1,23,large,1050,0.1425
1,1,23,large,1050,0.2849
1,1,23,large,1050,0.4096
1,1,23,large,1050,0.4347
1,2,0,large,1050,0.35
1,2,0,large,1050,0.2098
1,2,0,large,1050,0.2275
1,2,0,large,1050,0.2205
1,2,1,large,1050,0.2238
1,2,1,large,1050,0.2323
1,2,1,large,1050,0.2392
1,2,1,large,1050,0.2447
1,2,2,large,1050,0.2464
1,2,2,large,1050,0.252
1,2,2,large,1050,0.2568
1,2,2,large,1050,0.2609
1,2,3,large,1050,0.2619
1,2,3,large,1050,0.2621
1,2,3,large,1050,0.263
1,2,3,large,1050,0.2636
1,2,4,large,1050,0.2596
1,2,4,large,1050,0.2566
1,2,4,large,1050,0.2553
1,2,4,large,1050,0.2553
1,2,5,large,1050,0.2579
1,2,5,large,1050,0.2606
1,2,5,large,1050,0.2644
1,2,5,large,1050,0.2705
1,2,6,large,1050,1.498
1,2,6,large,1050,1.5076
1,2,6,large,1050,0.776
1,2,6,large,1050,1.0458
1,2,7,large,1050,0.9292
1,2,7,large,1050,0.7679
1,2,7,large,1050,0.601
1,2,7,large,1050,0.5875
1,2,8,large,1050,0.6026
1,2,8,large,1050,0.5891
1,2,8,large,1050,0.5794
1,2,8,large,1050,0.5748
1,2,9,large,1050,0.5675
1,2,9,large,1050,0.5563
1,2,9,large,1050,0.5209
1,2,9,large,1050,0.5164
1,2,10,large,1050,0.5658
1,2,10,large,1050,0.6855
1,2,10,large,1050,0.7842
1,2,10,large,1050,0.6386
1,2,11,large,1050,0.4866
1,2,11,large,1050,0.4888
1,2,11,large,1050,0.4911
1,2,11,large,1050,0.4923
1,2,12,large,1050,0.4944
1,2,12,large,1050,0.498
1,2,12,large,1050,0.5008
1,2,12,large,1050,0.507
1,2,13,large,1050,0.498
1,2,13,large,1050,0.4865
1,2,13,large,1050,0.4769
1,2,13,large,1050,0.4667
1,2,14,large,1050,0.465
1,2,14,large,1050,0.4624
1,2,14,large,1050,0.4599
1,2,14,large,1050,0.458
1,2,15,large,1050,0.4623
1,2,15,large,1050,0.4599
1,2,15,large,1050,0.4587
1,2,15,large,1050,0.4583
1,2,16,large,1050,0.4666
1,2,16,large,1050,0.4616
1,2,16,large,1050,0.4564
1,2,16,large,1050,0.452
1,2,17,large,1050,0.4693
1,2,17,large,1050,0.4641
1,2,17,large,1050,0.5022
1,2,17,large,1050,0.4471
1,2,18,large,1050,0.5348
1,2,18,large,1050,0.5253
1,2,18,large,1050,0.5414
1,2,18,large,1050,0.6405
1,2,19,large,1050,0.6821
1,2,19,large,1050,0.6693
1,2,19,large,1050,0.5857
1,2,19,large,1050,0.5805
1,2,20,large,1050,0.7111
1,2,20,large,1050,0.7476
1,2,20,large,1050,0.8012
1,2,20,large,1050,0.7888
1,2,21,large,1050,0.5864
1,2,21,large,1050,0.426
1,2,21,large,1050,0.3475
1,2,21,large,1050,0.3475
1,2,22,large,1050,0.2844
1,2,22,large,1050,0.2843
1,2,22,large,1050,0.2843
1,2,22,large,1050,0.2843
1,2,23,large,1050,0.153
1,2,23,large,1050,0.1307
1,2,23,large,1050,0.1084
1,2,23,large,1050,0.1084
1,3,0,large,1050,0.1072
1,3,0,large,1050,0.1071
1,3,0,large,1050,0.1071
1,3,0,large,1050,0.1071
1,3,1,large,1050,0.106
1,3,1,large,1050,0.106
1,3,1,large,1050,0.106
1,3,1,large,1050,0.106
1,3,2,large,1050,0.1064
1,3,2,large,1050,0.1064
1,3,2,large,1050,0.1064
1,3,2,large,1050,0.1064
1,3,3,large,1050,0.1055
1,3,3,large,1050,0.1054
1,3,3,large,1050,0.1054
