month,day,hour,home_size,home_id,total_consumption_kwh
1,1,0,small,20317,0.1277
1,1,0,small,20317,0.124
1,1,0,small,20317,0.096
1,1,0,small,20317,0.0896
1,1,1,small,20317,0.031
1,1,1,small,20317,0.0309
1,1,1,small,20317,0.0308
1,1,1,small,20317,0.0307
1,1,2,small,20317,0.0309
1,1,2,small,20317,0.0333
1,1,2,small,20317,0.0476
1,1,2,small,20317,0.0434
1,1,3,small,20317,0.0457
1,1,3,small,20317,0.0474
1,1,3,small,20317,0.0486
1,1,3,small,20317,0.0496
1,1,4,small,20317,0.0485
1,1,4,small,20317,0.049
1,1,4,small,20317,0.0493
1,1,4,small,20317,0.0496
1,1,5,small,20317,0.2883
1,1,5,small,20317,0.0496
1,1,5,small,20317,0.0499
1,1,5,small,20317,0.0502
1,1,6,small,20317,0.0534
1,1,6,small,20317,0.0533
1,1,6,small,20317,0.0533
1,1,6,small,20317,0.0532
1,1,7,small,20317,0.0563
1,1,7,small,20317,0.0561
1,1,7,small,20317,0.0559
1,1,7,small,20317,0.0556
1,1,8,small,20317,0.0575
1,1,8,small,20317,0.0573
1,1,8,small,20317,0.0571
1,1,8,small,20317,0.0568
1,1,9,small,20317,0.053
1,1,9,small,20317,0.0528
1,1,9,small,20317,0.0524
1,1,9,small,20317,0.0519
1,1,10,small,20317,0.5042
1,1,10,small,20317,0.0369
1,1,10,small,20317,0.1171
1,1,10,small,20317,0.1034
1,1,11,small,20317,0.0933
1,1,11,small,20317,0.0871
1,1,11,small,20317,0.0824
1,1,11,small,20317,0.0674
1,1,12,small,20317,0.0774
1,1,12,small,20317,0.0753
1,1,12,small,20317,0.0737
1,1,12,small,20317,0.0723
1,1,13,small,20317,0.07
1,1,13,small,20317,0.0683
1,1,13,small,20317,0.0668
1,1,13,small,20317,0.0655
1,1,14,small,20317,0.0659
1,1,14,small,20317,0.0652
1,1,14,small,20317,0.0647
1,1,14,small,20317,0.0644
1,1,15,small,20317,0.0647
1,1,15,small,20317,0.304
1,1,15,small,20317,0.0652
1,1,15,small,20317,0.0652
1,1,16,small,20317,0.0649
1,1,16,small,20317,0.0668
1,1,16,small,20317,0.0684
1,1,16,small,20317,0.0708
1,1,17,small,20317,0.0749
1,1,17,small,20317,0.0769
1,1,17,small,20317,0.0791
1,1,17,small,20317,0.0961
1,1,18,small,20317,0.1033
1,1,18,small,20317,0.1058
1,1,18,small,20317,0.1084
1,1,18,small,20317,0.1112
1,1,19,small,20317,0.112
1,1,19,small,20317,0.1147
1,1,19,small,20317,0.1175
1,1,19,small,20317,0.1205
1,1,20,small,20317,0.123
1,1,20,small,20317,0.1262
1,1,20,small,20317,0.3684
1,1,20,small,20317,0.1329
1,1,21,small,20317,0.134
1,1,21,small,20317,0.1374
1,1,21,small,20317,0.1409
1,1,21,small,20317,0.1443
1,1,22,small,20317,0.1441
1,1,22,small,20317,0.1466
1,1,22,small,20317,0.1491
1,1,22,small,20317,0.1515
1,1,23,small,20317,0.1519
1,1,23,small,20317,0.1539
1,1,23,small,20317,0.1558
1,1,23,small,20317,0.1577
1,2,0,small,20317,0.16
1,2,0,small,20317,0.1625
1,2,0,small,20317,0.1651
1,2,0,small,20317,0.1677
1,2,1,small,20317,0.0308
1,2,1,small,20317,0.0305
1,2,1,small,20317,0.0719
1,2,1,small,20317,0.3195
1,2,2,small,20317,0.1051
1,2,2,small,20317,0.1011
1,2,2,small,20317,0.1098
1,2,2,small,20317,0.1172
1,2,3,small,20317,0.1216
1,2,3,small,20317,0.1263
1,2,3,small,20317,0.1306
1,2,3,small,20317,0.1346
1,2,4,small,20317,0.1373
1,2,4,small,20317,0.1417
1,2,4,small,20317,0.1459
1,2,4,small,20317,0.1499
1,2,5,small,20317,0.1515
1,2,5,small,20317,0.1536
1,2,5,small,20317,0.1555
1,2,5,small,20317,0.1571
1,2,6,small,20317,0.1623
1,2,6,small,20317,0.164
1,2,6,small,20317,0.1656
1,2,6,small,20317,0.2286
1,2,7,small,20317,0.3515
1,2,7,small,20317,0.1771
1,2,7,small,20317,0.1808
1,2,7,small,20317,0.1825
1,2,8,small,20317,0.1829
1,2,8,small,20317,0.18
1,2,8,small,20317,0.1765
1,2,8,small,20317,0.1726
1,2,9,small,20317,0.162
1,2,9,small,20317,0.1526
1,2,9,small,20317,0.1419
1,2,9,small,20317,0.1326
1,2,10,small,20317,0.4809
1,2,10,small,20317,0.1619
1,2,10,small,20317,0.2215
1,2,10,small,20317,0.1992
1,2,11,small,20317,0.1787
1,2,11,small,20317,0.1643
1,2,11,small,20317,0.1531
1,2,11,small,20317,0.1438
1,2,12,small,20317,0.3756
1,2,12,small,20317,0.1289
1,2,12,small,20317,0.1215
1,2,12,small,20317,0.1145
1,2,13,small,20317,0.1083
1,2,13,small,20317,0.1032
1,2,13,small,20317,0.0988
1,2,13,small,20317,0.0949
1,2,14,small,20317,0.0916
1,2,14,small,20317,0.0867
1,2,14,small,20317,0.0823
1,2,14,small,20317,0.0782
1,2,15,small,20317,0.076
1,2,15,small,20317,0.0744
1,2,15,small,20317,0.0765
1,2,15,small,20317,0.0807
1,2,16,small,20317,0.0839
1,2,16,small,20317,0.0888
1,2,16,small,20317,0.0941
1,2,16,small,20317,0.1
1,2,17,small,20317,0.1083
1,2,17,small,20317,0.3544
1,2,17,small,20317,0.1216
1,2,17,small,20317,0.127
1,2,18,small,20317,0.136
1,2,18,small,20317,0.1405
1,2,18,small,20317,0.1452
1,2,18,small,20317,0.1502
1,2,19,small,20317,0.1535
1,2,19,small,20317,0.1586
1,2,19,small,20317,0.1637
1,2,19,small,20317,0.1688
