"PVWatts Hourly PV Performance Data"
"Requested Location","300 alumni drive"
"Location","Lat, Lng: 38.01, -84.5"
"Latitude (DD)","38.01"
"Longitude (DD)","-84.50"
"Elevation (m)","302.79998779297"
"DC System Size (kW)","8"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-4","2","0.14","0","-4","0","0"
"1","1","1","0","0","-5","1.8","0.14","0","-5","0","0"
"1","1","2","0","0","-5","1.8","0.14","0","-5","0","0"
"1","1","3","0","0","-5","1.7","0.14","0","-5","0","0"
"1","1","4","0","0","-6","1.6","0.14","0","-6","0","0"
"1","1","5","0","0","-6","1.5","0.14","0","-6","0","0"
"1","1","6","0","0","-6","1.5","0.14","0","-6","0","0"
"1","1","7","0","0","-5","1.9","0.14","0","-5","0","0"
"1","1","8","0","18","-4","2.7","0.14","16.683","-3.654","102.677","67.33"
"1","1","9","0","71","-2","3.6","0.14","68.031","-0.748","485.106","436.208"
"1","1","10","47","149","0","4.5","0.14","184.695","2.992","1347.662","1268.2"
"1","1","11","145","200","0","5","0.14","324.11","4.919","2379.18","2263.168"
"1","1","12","521","159","1","5.3","0.14","587.475","9.608","4302.54","4118.375"
"1","1","13","667","112","2","5.2","0.14","636.978","11.457","4653.202","4456.612"
"1","1","14","758","90","2","4.9","0.14","619.189","11.559","4545.898","4353.11"
"1","1","15","268","113","1","4.2","0.14","273.666","5.634","2022.116","1918.756"
"1","1","16","382","55","0","3.5","0.14","209.568","3.863","1447.254","1364.264"
"1","1","17","0","0","0","3.2","0.14","0","0","0","0"
"1","1","18","0","0","0","3.1","0.14","0","0","0","0"
"1","1","19","0","0","0","3.1","0.14","0","0","0","0"
"1","1","20","0","0","0","3","0.14","0","0","0","0"
"1","1","21","0","0","0","2.7","0.14","0","0","0","0"
"1","1","22","0","0","0","2.4","0.14","0","0","0","0"
"1","1","23","0","0","-1","2.2","0.14","0","-1","0","0"
"1","2","0","0","0","0","2.3","0.14","0","0","0","0"
"1","2","1","0","0","0","2.2","0.14","0","0","0","0"
"1","2","2","0","0","0","1.8","0.14","0","0","0","0"
"1","2","3","0","0","0","1.4","0.14","0","0","0","0"
"1","2","4","0","0","0","1.2","0.14","0","0","0","0"
"1","2","5","0","0","0","1.3","0.14","0","0","0","0"
"1","2","6","0","0","0","1.2","0.14","0","0","0","0"
"1","2","7","0","0","0","1","0.14","0","0","0","0"
"1","2","8","0","5","0","0.8","0.14","4.623","0.144","26.434","0"
"1","2","9","0","46","0","0.8","0.14","42.693","1.374","296.673","254.453"
"1","2","10","0","78","1","0.9","0.14","72.917","3.286","513.124","463.234"
"1","2","11","0","79","1","0.9","0.14","73.436","3.299","514.141","464.214"
"1","2","12","0","126","1","0.6","0.14","120.012","5.072","846.817","785.103"
"1","2","13","0","102","1","0.4","0.14","95.946","4.451","674.18","618.583"
"1","2","14","0","73","2","0.6","0.14","67.838","4.305","473.123","424.65"
"1","2","15","0","88","1","0.8","0.14","84.472","3.72","597.831","544.939"
"1","2","16","0","33","0","0.8","0.14","30.616","0.98","206.161","167.148"
"1","2","17","0","0","0","0.9","0.14","0","0","0","0"
"1","2","18","0","0","0","1","0.14","0","0","0","0"
"1","2","19","0","0","0","1.2","0.14","0","0","0","0"
"1","2","20","0","0","0","1.4","0.14","0","0","0","0"
"1","2","21","0","0","0","1.6","0.14","0","0","0","0"
"1","2","22","0","0","0","1.8","0.14","0","0","0","0"
"1","2","23","0","0","0","2","0.14","0","0","0","0"
"1","3","0","0","0","0","1.9","0.14","0","0","0","0"
"1","3","1","0","0","0","1.8","0.14","0","0","0","0"
"1","3","2","0","0","0","1.7","0.14","0","0","0","0"
"1","3","3","0","0","0","1.6","0.14","0","0","0","0"
